鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
中正區,房地(土地+建物),臺北市中正區詔安街1~50號,22.12,住,,,10107,土地2建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.21,3,2,2,有,無,12800000,115094,,0,0,301899,2768591
萬華區,房地(土地+建物),臺北市萬華區三水街101~150號,20.41,住,,,10108,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,79.09,2,2,2,有,無,8500000,107472,,0,0,300232,2769876
大同區,車位,臺北市大同區南京西路1~50號,1.2,商,,,10107,土地0建物0車位1,,,其他,,,,41.17,0,0,0,有,有,2500000,,升降平面,41.17,2500000,302457,2771743
內湖區,房地(土地+建物),臺北市內湖區堤頂大道二段451~500號,7.95,工,,,10108,土地1建物1車位0,八層,13,辦公商業大樓,見其他登記事項,鋼筋混凝土造,980729,43.76,0,1,1,有,有,7180000,164093,,0,0,306708,2775061
中山區,房地(土地+建物),臺北市中山區南京西路1~50號,10.12,商,,,10108,土地2建物1車位0,六層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,780816,76.13,2,1,1,有,有,13500000,177335,,0,0,302639,2771658
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段451巷51~100號,16.21,其他,,,10108,土地1建物1車位0,十層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,971205,100.77,2,1,1,有,有,15500000,153819,坡道機械,16.52,0,309249,2772745
內湖區,房地(土地+建物),臺北市內湖區東湖路113巷101~150號,39.85,住,,,10108,土地1建物2車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770303,116.65,3,2,2,有,有,13930000,119420,,0,0,312050,2773989
內湖區,房地(土地+建物),臺北市內湖區星雲街150巷1~50號,21.48,其他,,,10108,土地1建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880121,91.91,4,2,2,有,有,19900000,216516,,0,0,310272,2774704
內湖區,房地(土地+建物),臺北市內湖區內湖路二段103巷1~50號,11.22,住,,,10107,土地1建物1車位0,地下層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,730628,45.82,2,1,1,有,無,7000000,152771,,0,0,308604,2774980
內湖區,房地(土地+建物),臺北市內湖區民權東路六段101~150號,4.86,商,,,10107,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960621,48.77,0,1,1,有,有,8180000,167742,,0,0,309514,2773492
內湖區,房地(土地+建物)+車位,臺北市內湖區大湖山莊街201~250號,57.33,住,,,10107,土地1建物1車位1,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780201,224.2,3,3,3,有,有,24500000,109275,坡道平面,0,0,310416,2775715
中山區,房地(土地+建物),臺北市中山區松江路1~50號,7.87,商,,,10108,土地2建物3車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851212,71.39,2,2,2,有,有,14150000,198216,,0,0,303830,2770980
內湖區,房地(土地+建物)+車位,臺北市內湖區新富街151~200號,50.96,住,,,10108,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010601,347.09,3,2,4,有,有,71870000,254242,坡道平面,84.86,5200000,309097,2772635
內湖區,房地(土地+建物)+車位,臺北市內湖區新富街151~200號,49.11,住,,,10108,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010601,338.5,3,2,4,有,有,68520000,249645,坡道平面,84.86,5200000,309219,2772792
內湖區,房地(土地+建物)+車位,臺北市內湖區新富街151~200號,51.22,住,,,10108,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010601,348.35,3,2,4,有,有,72810000,257353,坡道平面,84.86,5000000,309082,2772650
內湖區,房地(土地+建物),臺北市內湖區東湖路33巷1~50號,10.23,住,,,10100,土地2建物1車位0,五層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,951027,60.5,1,1,1,有,有,9300000,153712,,0,0,311881,2773595
中山區,房地(土地+建物),臺北市中山區龍江路394巷51~100號,25.9,商,,,10107,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730702,118.47,3,2,2,有,無,14600000,123242,,0,0,304343,2773350
中山區,房地(土地+建物),臺北市中山區林森北路145巷1~50號,21,住,,,10104,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),,加強磚造,,71.21,4,0,4,有,無,8910000,125123,,0,0,303041,2771552
中山區,房地(土地+建物)+車位,臺北市中山區中山北路一段121巷1~50號,10,商,,,10107,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000128,136.73,2,1,1,有,無,23680000,173194,坡道平面,0,2350000,302951,2771520
中山區,房地(土地+建物),臺北市中山區敬業二路69巷51~100號,13.46,商,,,10108,土地1建物1車位0,四層,10,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,961218,55.71,1,1,1,有,有,12520000,224718,,0,0,305775,2774992
中山區,房地(土地+建物)+車位,臺北市中山區吉林路1~50號,66.86,住,,,10108,土地2建物1車位5,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1010625,594.72,5,2,4,有,有,157280000,264461,坡道平面,0,0,303436,2771423
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路460巷18弄1~50號,28.53,住,,,10109,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,900119,101.28,4,2,2,有,有,17500000,172788,坡道平面,0,0,308359,2771851
中山區,房地(土地+建物),臺北市中山區民生東路一段1~50號,4.68,商,,,10107,土地1建物1車位0,五層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,951012,43.18,1,1,1,有,無,9000000,208444,,0,0,302869,2772266
中山區,房地(土地+建物)+車位,臺北市中山區成功里樂群二路30巷51~100號,80.18,住,,,9908,土地1建物1車位2,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010724,393.25,0,0,0,無,有,111000000,346578,坡道平面,87.98,5200000,305841,2774533
中山區,房地(土地+建物)+車位,臺北市中山區成功里樂群二路30巷51~100號,80.18,住,,,9906,土地1建物1車位2,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010724,393.25,0,0,0,無,有,115000000,358044,坡道平面,87.98,5700000,305867,2774507
中山區,房地(土地+建物)+車位,臺北市中山區成功里樂群二路30巷51~100號,80.58,住,,,9906,土地1建物1車位2,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010724,394.89,0,0,0,無,有,147880000,463589,坡道平面,87.98,5600000,305837,2774537
中山區,房地(土地+建物)+車位,臺北市中山區樂群二路30巷51~100號,78.97,住,,,9908,土地1建物1車位2,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010724,388.55,0,0,0,無,有,109630000,347107,坡道平面,87.98,5300000,305832,2774543
信義區,房地(土地+建物)+車位,臺北市信義區崇德街63巷1~50號,31.19,住,,,9901,土地1建物1車位2,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010614,268.37,2,2,2,有,有,41250000,178921,坡道平面,64.09,4700000,306018,2768610
信義區,房地(土地+建物)+車位,臺北市信義區崇德街63巷1~50號,24.93,住,,,10106,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010614,199.93,1,2,2,有,有,32500000,180475,坡道平面,32.04,2200000,306008,2768620
信義區,房地(土地+建物)+車位,臺北市信義區崇德街63巷1~50號,24.82,住,,,10106,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010614,199.52,2,2,2,有,有,35850000,200621,坡道平面,32.04,2250000,306040,2768588
南港區,房地(土地+建物)+車位,臺北市南港區向陽路258巷51~100號,28.51,住,,,10108,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,971009,130.91,2,2,1,有,有,18000000,137494,坡道平面,32.5,0,310216,2772340
